lvl,position_code,ou,old_title,new_title,incumbent
1,POS-00000001,Heuresys S.r.l.,71851cc2-9da8-4160-84a5-974016110d29,direttore di banca/direttrice di banca,
1,POS-00000321,RTL Bank S.p.A.,Compliance Officer,direttore di banca/direttrice di banca,Federica Marchetti
1,POS-e1000001,,Tenant Owner,(SPECIAL-platform.admin@heuresys.com),Platform Admin
2,POS-00000384,Divisione CFO,Bank Manager,direttore di banca/direttrice di banca,Federica De Rosa
2,POS-00000408,Divisione Commercial Banking,Bank Manager,direttore di banca/direttrice di banca,Claudia Serra
2,POS-00000360,Divisione IT & Digital,Compliance Officer,direttore di banca/direttrice di banca,Marco De Santis
2,POS-00000378,Divisione Operations,Bank Manager,direttore di banca/direttrice di banca,Paolo Caputo
2,POS-00000436,Divisione Retail Banking,Bank Manager,direttore di banca/direttrice di banca,Sergio Caputo
2,POS-00000396,Divisione Risk & Compliance,Risk Analyst,direttore di banca/direttrice di banca,Alice Esposito
2,POS-00000002,Operations & Administration,f141075b-5467-4ad7-80a8-b187c9805670,(SPECIAL-andrea.spenuso@heuresys.com),Andrea Spenuso
2,POS-00000003,Product & Development,8c12b338-6a9a-46cc-9ddf-d2a1cea61d11,(SCAFFOLD-no-incumbent),
3,POS-bff71948,Direzione Back Office,Line Manager - Operations,(SPECIAL-giuseppe.ferri@rtl-bank.org),Giuseppe Ferri
3,POS-00000386,Direzione Infrastrutture,Financial Analyst,direttore di banca/direttrice di banca,Marco Rinaldi
3,POS-00000345,Direzione Infrastrutture,Financial Analyst,direttore di banca/direttrice di banca,Stefano Rinaldi
3,POS-00000307,Direzione Sviluppo Software,Financial Analyst,direttore di banca/direttrice di banca,Sara Greco
3,POS-00000379,Divisione CFO,Financial Analyst,direttore di banca/direttrice di banca,Noemi Lombardi
3,POS-00000368,Divisione CFO,Financial Analyst,direttore di banca/direttrice di banca,Antonio Parisi
3,POS-00000342,Divisione CFO,Financial Analyst,direttore di banca/direttrice di banca,Valentina Bianco
3,POS-00000330,Divisione Commercial Banking,Bank Manager,direttore di banca/direttrice di banca,Martina Santoro
3,POS-00000390,Divisione Commercial Banking,Security Specialist,direttore di banca/direttrice di banca,IT_ME_7B441D14-name
3,POS-00000375,Divisione Commercial Banking,Investment Advisor,direttore di banca/direttrice di banca,Martina Russo
3,POS-00000354,Divisione Commercial Banking,Bank Manager,direttore di banca/direttrice di banca,Marta Greco
3,POS-00000369,Divisione Retail Banking,Investment Advisor,direttore di banca/direttrice di banca,Paolo Castaldi
3,POS-00000407,Divisione Risk & Compliance,Risk Analyst,direttore di banca/direttrice di banca,Luca Giordano
3,POS-00000310,Divisione Risk & Compliance,Risk Analyst,direttore di banca/direttrice di banca,Gabriele Amato
3,POS-00000305,Divisione Risk & Compliance,Compliance Officer,direttore di banca/direttrice di banca,Andrea Greco
3,POS-00000364,Divisione Risk & Compliance,Risk Analyst,direttore di banca/direttrice di banca,Cristina Romano
3,POS-00000303,Divisione Risk & Compliance,Risk Analyst,direttore di banca/direttrice di banca,Cristina Rossi
3,POS-00000356,Divisione Risk & Compliance,Risk Analyst,direttore di banca/direttrice di banca,Alice Rossi
3,POS-00000385,Divisione Risk & Compliance,Risk Analyst,direttore di banca/direttrice di banca,Luca D'Angelo
3,POS-00000355,Filiale Bergamo Centro,Security Specialist,direttore di banca/direttrice di banca,Gabriele Colombo
3,POS-00000347,Filiale Milano Centro,Bank Teller,direttore di banca/direttrice di banca,Silvia Martelli
4,POS-00000294,Direzione AML/Antiriciclaggio,Compliance Officer,esattore/esattrice,Alberto Rossetti
4,POS-00000314,Direzione AML/Antiriciclaggio,Compliance Officer,esattore/esattrice,Riccardo De Santis
4,POS-00000335,Direzione AML/Antiriciclaggio,Compliance Officer,esattore/esattrice,Stefano Morelli
4,POS-00000435,Direzione AML/Antiriciclaggio,Compliance Officer,esattore/esattrice,Helena Negri
4,POS-00000288,Direzione Back Office,Compliance Officer,esattore/esattrice,Giorgio Mancini
4,POS-00000401,Direzione Back Office,Compliance Officer,esattore/esattrice,Paolo Villa
4,POS-00000411,Direzione Back Office,Compliance Officer,esattore/esattrice,Tommaso Caputo
4,POS-00000361,Direzione Back Office,Compliance Officer,esattore/esattrice,Luca Ferri
4,POS-00000304,Direzione Back Office,Compliance Officer,esattore/esattrice,Ilaria Bruno
4,POS-00000402,Direzione Corporate Banking,Investment Advisor,consulente finanziario,Tommaso De Santis
4,POS-00000413,Direzione Corporate Banking,Investment Advisor,consulente finanziario,Elisa Mariani
4,POS-00000306,Direzione Corporate Banking,Investment Advisor,consulente finanziario,Noemi Bruno
4,POS-00000439,Direzione Corporate Banking,Investment Advisor,consulente finanziario,Veronica Ferri
4,POS-00000445,Direzione Crediti,Bank Manager,direttore di banca/direttrice di banca,Xenia Leone
4,POS-00000428,Direzione Crediti,Bank Manager,direttore di banca/direttrice di banca,Ignazio Orlando
4,POS-00000421,Direzione Crediti,Bank Manager,direttore di banca/direttrice di banca,Daniela Fabbri
4,POS-00000300,Direzione Infrastrutture,Financial Analyst,analista finanziario/analista finanziaria,Alice Costa
4,POS-00000323,Direzione Pagamenti,Compliance Officer,esattore/esattrice,Cristina Ferri
4,POS-00000339,Direzione Pagamenti,Compliance Officer,esattore/esattrice,Andrea De Rosa
4,POS-00000365,Direzione Pagamenti,Compliance Officer,esattore/esattrice,Marta Russo
4,POS-00000290,Direzione Risk Management,Risk Analyst,analista del rischio di credito,Francesca Gallo
4,POS-00000388,Direzione Risk Management,Risk Analyst,analista del rischio di credito,Roberta Caputo
4,POS-00000371,Direzione Risk Management,Risk Analyst,analista del rischio di credito,Pietro Gatti
4,POS-00000430,Direzione Risk Management,Risk Analyst,analista del rischio di credito,Martina Sala
4,POS-00000349,Direzione Risk Management,Risk Analyst,analista del rischio di credito,Martina Gentile
4,POS-00000324,Direzione Sviluppo Software,Financial Analyst,analista finanziario/analista finanziaria,Pietro Gallo
4,POS-00000299,Direzione Sviluppo Software,Financial Analyst,analista finanziario/analista finanziaria,Chiara Zanetti
4,POS-00000296,Direzione Sviluppo Software,Financial Analyst,analista finanziario/analista finanziaria,Luca Mariani
4,POS-00000420,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Carlo Dangelo
4,POS-00000353,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Antonio Marino
4,POS-00000351,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Cristina Palmieri
4,POS-00000433,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Jessica Pagano
4,POS-00000370,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Marco Bruno
4,POS-00000293,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Laura Esposito
4,POS-00000405,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Stefano Monti
4,POS-00000352,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Giulia Fontana
4,POS-00000395,Divisione CFO,Financial Analyst,analista finanziario/analista finanziaria,Ilaria Marchetti
